subsector_slug,scope,cycle_conclusion,current_phase_hypothesis,valuation_context,market_cycle_watch,why_now,key_debates,catalysts,risks,review_status,updated_at
crude_tankers,"Reviewed public evidence profile for crude-tanker cycle interpretation.","Use oil-trade disruption and ton-mile evidence as confirmation or contradiction for tanker price signals.","Transition watch when oil-market disruption rises but freight and relative-price evidence diverge.","Valuation proxies remain incomplete without true vessel-rate and subsector multiple histories.","Watch oil trade, inventories, route disruption, fleet supply, relative price, and valuation proxy together.","Public maritime and oil-market evidence can clarify whether tanker strength is fundamental or sentiment-led.","Trade disruption versus weak oil demand; fleet tightness versus new supply.","OPEC+ decisions, Hormuz/Red Sea route risk, inventory draws, freight-rate inflections.","False confirmation from broad energy rallies without tanker-specific trade-flow support.",reviewed,2026-05-26
product_chemical_tankers,"Reviewed public evidence profile for product and chemical tanker cycle interpretation.","Use refining activity, product inventories, and trade-flow dislocation before treating crude-price moves as tanker-cycle evidence.","Transition watch when refinery dislocation improves but product-demand or inventory evidence weakens.","Valuation proxies are incomplete without product tanker freight and true Oslo subsector multiples.","Watch refining margins, product inventories, oil trade, route disruption, relative price, and valuation proxy.","Product tanker cycles can diverge from crude tanker cycles when refinery geography changes.","Refinery disruption versus demand destruction; ton-mile gains versus fleet normalization.","Refinery outages, sanctions, product inventory turns, route disruption, seasonal demand.","False confirmation from crude-price strength alone.",reviewed,2026-05-26
dry_bulk,"Reviewed public evidence profile for dry-bulk cycle interpretation.","Use dry-bulk freight direction and China/commodity evidence as confirmation or contradiction for industrial commodity proxy signals.","Recovery candidate only when freight, China proxies, metals, and relative price confirm each other.","Valuation proxies are incomplete without true freight-linked earnings and subsector multiples.","Watch dry-bulk freight, copper, aluminum, China CLI, G20 CLI, relative price, and valuation proxy.","UNCTAD freight evidence helps separate commodity-led optimism from actual shipping-cycle improvement.","China demand versus vessel supply; commodity-price rallies versus freight softness.","China stimulus, steel output, grain flows, fleet orderbook, freight-rate inflections.","False recovery calls when metals rally but freight remains weak.",reviewed,2026-05-26
lng_lpg_shipping,"Reviewed public evidence profile for LNG/LPG shipping cycle interpretation.","Use gas balances, LNG supply disruption, route risk, and fleet delivery timing as core cycle evidence.","Transition or exit-risk watch when gas-price volatility rises faster than shipping fundamentals improve.","Valuation proxies are incomplete without vessel-rate and contract-cover histories.","Watch gas prices, LNG supply, Asian/European demand, route risk, fleet deliveries, relative price, and valuation proxy.","Public IEA gas evidence directly improves gas-shipping cycle interpretation.","Supply shock versus demand destruction; energy security demand versus fleet additions.","Gas market reports, LNG outage updates, Asian demand, European storage, fleet delivery schedule.","False confirmation from energy-security narratives without shipping-rate support.",reviewed,2026-05-26
offshore_vessels_drilling,"Reviewed public evidence profile for offshore vessels and drilling cycle interpretation.","Use oil balances, offshore capex, dayrates, utilization, and backlog quality together before calling continuation.","Continuation candidate when oil balances support capex and rig/vessel supply stays tight; exit risk when oil volatility cuts budgets.","Valuation proxies are incomplete without true dayrate, backlog, and subsector multiple histories.","Watch Brent, oil curve pressure, IEA oil balances, utilization, dayrates, backlog, relative price, and valuation proxy.","Oil-market volatility affects E&P budget confidence and offshore tender timing.","Capex expansion versus budget discipline; high utilization versus margin conversion.","E&P budgets, tender awards, utilization reports, dayrate inflections, backlog updates.","False confirmation from oil price alone.",reviewed,2026-05-26
oil_gas_ep,"Reviewed public evidence profile for oil and gas E&P cycle interpretation.","Use commodity cash-flow support and geopolitical exit risk together rather than treating oil-price strength as uniformly positive.","Late-cycle or exit-risk watch when energy-price shocks support near-term cash flow but raise demand and policy risk.","Valuation proxies are incomplete without true reserve, decline-rate, and Oslo E&P multiple histories.","Watch Brent, WTI, gas prices, inventories, policy risk, NOK, relative price, and valuation proxy.","The 2026 commodity-price shock makes cash-flow and risk-regime separation important.","Cash return versus reinvestment; geopolitical premium versus demand destruction.","Oil-market reports, gas-market reports, policy/tax updates, curve shifts.","False confidence from headline commodity prices without reserve and policy context.",reviewed,2026-05-26
oil_services,"Reviewed public evidence profile for oil-services cycle interpretation.","Use public oil-market anchors before treating order intake, backlog, and margin claims as cycle evidence.","Recovery confirmation requires order/backlog improvement plus supportive oil balances and stable funding conditions.","Valuation proxies are incomplete without backlog quality, margin, and true subsector multiple histories.","Watch oil balances, EIA data, offshore capex, order intake, backlog quality, rates, relative price, and valuation proxy.","Public oil-market anchors help avoid unreviewed backlog narratives driving conclusions.","Order growth versus margin conversion; capex recovery versus cost inflation.","Quarterly backlog commentary, E&P capex budgets, tender awards, oil balance shifts.","False confirmation from unsourced order-intake claims.",reviewed,2026-05-26
seafood_aquaculture,"Reviewed public evidence profile for seafood and aquaculture cycle interpretation.","Use export value, volume, price realization, biological risk, feed costs, regulation, and FX together.","Transition watch when export value rises on volume while price realization weakens.","Valuation proxies are incomplete without salmon-price, biomass, and true subsector multiple histories.","Watch salmon exports, price/volume mix, feed costs, disease, regulation, NOK/EUR, and relative price.","2025 export data show why headline seafood value can hide price/volume contradiction.","Volume growth versus price weakness; biological risk versus demand resilience.","Export releases, salmon-price updates, biomass reports, regulatory changes.","False confidence from record export value without price realization.",reviewed,2026-05-26
metals_aluminum,"Reviewed public evidence profile for metals and aluminum cycle interpretation.","Use commodity breadth, energy costs, China demand, and industrial growth proxies together.","Recovery candidate only when metals prices, energy-cost pressure, China evidence, and relative price confirm.","Valuation proxies are incomplete without smelter margin and true subsector multiple histories.","Watch aluminum, copper, energy prices, China CLI, G20 CLI, relative price, and valuation proxy.","World Bank commodity evidence helps separate broad commodity shocks from metals-specific recovery.","Energy-cost pressure versus metal-price support; China demand versus supply additions.","Commodity outlooks, China data, energy-price changes, production curtailments.","False confirmation from metal-price strength caused mainly by supply shocks.",reviewed,2026-05-26
renewables,"Reviewed public evidence profile for renewables cycle interpretation.","Use rates, project returns, policy, manufacturing trends, and sector financial health as core evidence.","Recovery candidate when rates ease and project economics improve; exit risk when policy or financing deteriorates.","Valuation proxies are incomplete without project-return and true subsector multiple histories.","Watch rates pressure, policy changes, power prices, supply chains, copper, relative price, and valuation proxy.","IEA sector evidence ties the renewables read to policy, manufacturing, and financial health.","Rate relief versus policy risk; growth demand versus poor returns.","Central-bank paths, auctions, power-price data, supply-chain updates.","False confirmation from green-equity sentiment alone.",reviewed,2026-05-26
norwegian_banks,"Reviewed public evidence profile for Norwegian bank cycle interpretation.","Use rates, credit losses, funding spreads, housing, and CRE exposure together.","Late-cycle or deterioration watch when CRE vulnerability rises while rates stay restrictive.","Valuation proxies are incomplete without true bank valuation, credit-loss, and funding-spread histories.","Watch Norges Bank rates, CPI, CRE exposure, housing, credit losses, funding stress, and relative price.","Norges Bank financial-stability evidence links bank confidence to CRE credit risk.","Higher rates supporting NIM versus credit losses; CRE stress versus capital buffers.","Policy meetings, financial-stability reports, credit-loss updates, housing data.","False confidence from NIM strength without credit-cycle evidence.",reviewed,2026-05-26
real_estate,"Reviewed public evidence profile for real-estate cycle interpretation.","Use rates, refinancing pressure, rents, asset values, and CRE selling-price evidence together.","Transition watch when asset prices flatten but refinancing pressure remains high.","Valuation proxies are incomplete without true property valuation, debt maturity, and subsector multiple histories.","Watch policy rate path, inflation, funding spreads, CRE selling prices, rents, relative price, and valuation proxy.","Norges Bank CRE evidence improves refinancing and asset-value risk interpretation.","Rate relief versus refinancing wall; stable rents versus asset-value pressure.","Policy-rate changes, property-price data, refinancing updates, vacancy/rent data.","False recovery calls from rate-cut hopes without asset-value confirmation.",reviewed,2026-05-26
industrial_tech_exporters,"Reviewed public evidence profile for industrial and tech exporter cycle interpretation.","Use global growth, financial conditions, tech capex, FX, and order intake together.","Continuation candidate only when macro confirmation, tech demand, and relative price align.","Valuation proxies are incomplete without true order-book, margin, and subsector multiple histories.","Watch G20 CLI, US CLI, Nasdaq proxy, USD/NOK, EUR/NOK, financial conditions, and relative price.","IMF global-risk evidence helps separate exporter-cycle demand from local price momentum.","Tech capex versus macro slowdown; weak NOK support versus global demand risk.","PMI/CLI changes, order intake, capex commentary, FX moves.","False confirmation from currency translation without demand evidence.",reviewed,2026-05-26
